ticket_id,account_id,submitted_at,closed_at,resolution_time_hours,priority,first_response_time_minutes,satisfaction_score,escalation_flag
T-082788,A-00bed1,2023-12-14 00:00:00,2023-12-14 06:00:00,6,urgent,174,,FALSE
T-76632d,A-00bed1,2024-05-16 00:00:00,2024-05-17 03:00:00,27,high,46,,FALSE
T-c6d16e,A-00bed1,2024-03-13 00:00:00,2024-03-14 04:00:00,28,urgent,107,4,FALSE
T-e766b0,A-00bed1,2023-01-14 00:00:00,2023-01-16 18:00:00,66,high,98,,FALSE
T-1bc086,A-00cac8,2023-09-15 00:00:00,2023-09-15 01:00:00,1,urgent,92,,FALSE
T-c5474d,A-00cac8,2023-06-06 00:00:00,2023-06-08 17:00:00,65,urgent,149,,FALSE
T-1850d3,A-0158bb,2024-01-11 00:00:00,2024-01-12 08:00:00,32,urgent,50,3,FALSE
T-2968aa,A-016043,2024-12-11 00:00:00,2024-12-13 11:00:00,59,low,143,,FALSE
T-633a99,A-016043,2024-04-13 00:00:00,2024-04-13 12:00:00,12,high,63,,FALSE
T-b5f0d3,A-016043,2023-10-02 00:00:00,2023-10-02 20:00:00,20,high,28,4,FALSE
T-39910e,A-019782,2024-09-09 00:00:00,2024-09-09 10:00:00,10,urgent,166,,FALSE
T-646e6d,A-019782,2024-12-01 00:00:00,2024-12-01 10:00:00,10,urgent,48,3,FALSE
T-273811,A-029f69,2023-06-23 00:00:00,2023-06-25 01:00:00,49,low,85,,FALSE
T-788eff,A-029f69,2024-04-18 00:00:00,2024-04-19 11:00:00,35,urgent,131,3,FALSE
T-435417,A-02cd81,2024-02-02 00:00:00,2024-02-02 06:00:00,6,urgent,44,5,FALSE
T-b685e1,A-02cd81,2024-03-12 00:00:00,2024-03-13 13:00:00,37,medium,111,,FALSE
T-eb6b8e,A-02cd81,2024-07-10 00:00:00,2024-07-10 09:00:00,9,high,99,4,TRUE
T-14571c,A-02fac6,2023-11-01 00:00:00,2023-11-02 12:00:00,36,low,176,5,FALSE
T-34421f,A-02fac6,2024-05-18 00:00:00,2024-05-18 16:00:00,16,high,179,3,FALSE
T-60c7c9,A-02fac6,2023-10-17 00:00:00,2023-10-18 04:00:00,28,low,45,,FALSE
T-69bbea,A-02fac6,2023-03-03 00:00:00,2023-03-03 16:00:00,16,medium,43,,FALSE
T-96c05e,A-02fac6,2023-09-16 00:00:00,2023-09-16 10:00:00,10,medium,53,,FALSE
T-b6633c,A-02fac6,2024-02-18 00:00:00,2024-02-19 10:00:00,34,urgent,107,,FALSE
T-2c34c5,A-034368,2023-08-29 00:00:00,2023-08-31 17:00:00,65,low,34,5,FALSE
